date,state,n_holdings,n_after_stop,n_stop_losses,period_return,turnover,turnover_cost,holdings
2019-10-31,unknown,20,16,4,-0.0295,1.0,0.0015,"000009,000007,000026,000012,000002,000039,000014,000011,000035,000042,000027,000030,000032,000019,000025,000006"
2019-11-29,unknown,20,20,0,8.1991,0.25,0.000375,"000012,000011,000017,000045,000021,000042,000006,000036,000009,000027,000002,000019,000007,000039,000030,000014,000020,000025,000032,000048"
2019-12-31,unknown,20,15,5,-2.9569,0.4,0.0006,"000030,000006,000002,000027,000025,000028,000032,000020,000014,000049,000036,000007,000034,000026,000045"
2020-02-28,unknown,20,7,13,-9.4881,0.3,0.00045,"000034,000021,000032,000026,000048,000045,000009"
2020-03-31,unknown,16,13,3,5.7471,0.6429,0.000964,"000021,000034,000032,000009,000026,000001,000012,000037,000031,000008,000048,000030,000019"
2020-04-30,unknown,20,14,6,0.4432,0.5,0.00075,"000032,000021,000037,000012,000009,000049,000001,000027,000042,000026,000007,000025,000034,000036"
2020-05-29,unknown,20,19,1,11.0466,0.2857,0.000429,"000009,000021,000048,000032,000042,000019,000014,000049,000025,000036,000045,000007,000012,000011,000037,000020,000026,000001,000017"
2020-06-30,unknown,20,20,0,19.8551,0.2368,0.000355,"000037,000026,000007,000032,000049,000012,000035,000009,000048,000045,000042,000021,000030,000036,000028,000019,000014,000031,000034,000011"
2020-07-31,unknown,20,19,1,-3.3531,0.2,0.0003,"000032,000049,000021,000034,000036,000019,000011,000030,000048,000009,000025,000037,000014,000045,000035,000002,000031,000008,000026"
2020-08-31,unknown,20,20,0,-6.3319,0.2368,0.000355,"000007,000039,000049,000028,000019,000021,000011,000026,000014,000032,000030,000036,000048,000045,000037,000001,000020,000009,000025,000034"
2020-09-30,unknown,20,18,2,0.069,0.25,0.000375,"000039,000034,000002,000001,000048,000026,000021,000009,000012,000045,000020,000007,000019,000030,000028,000025,000027,000014"
2020-10-30,unknown,20,19,1,1.5789,0.2778,0.000417,"000012,000001,000034,000048,000039,000009,000028,000036,000045,000007,000017,000002,000025,000049,000042,000019,000032,000014,000020"
2020-11-30,unknown,20,15,5,-2.8753,0.2368,0.000355,"000001,000009,000030,000002,000028,000039,000027,000049,000012,000019,000036,000032,000017,000045,000011"
2020-12-31,unknown,20,14,6,-3.8551,0.4333,0.00065,"000012,000001,000039,000002,000030,000045,000011,000021,000048,000019,000009,000032,000027,000026"
2021-01-29,bull,20,17,3,8.7532,0.2857,0.000429,"000001,000049,000039,000012,000009,000030,000026,000035,000021,000048,000017,000002,000045,000011,000006,000032,000019"
2021-02-26,bull,20,18,2,10.2258,0.2647,0.000397,"000027,000049,000026,000009,000001,000012,000030,000039,000045,000017,000019,000011,000037,000008,000002,000021,000006,000020"
2021-03-31,range,20,18,2,-0.5966,0.2222,0.000333,"000009,000032,000030,000027,000026,000017,000042,000012,000049,000039,000001,000002,000019,000048,000021,000020,000045,000011"
2021-04-30,range,20,16,4,0.0599,0.1667,0.00025,"000009,000012,000039,000017,000026,000030,000045,000001,000027,000049,000020,000032,000034,000021,000019,000008"
2021-05-31,bull,20,17,3,4.1014,0.3125,0.000469,"000009,000027,000035,000012,000045,000001,000039,000017,000014,000025,000026,000020,000030,000011,000021,000032,000036"
2021-06-30,bull,20,16,4,-4.471,0.2647,0.000397,"000039,000034,000009,000045,000012,000027,000001,000017,000007,000020,000035,000025,000026,000019,000011,000030"
2021-07-30,range,20,19,1,4.2339,0.3125,0.000469,"000009,000045,000039,000017,000012,000019,000027,000020,000035,000011,000048,000008,000021,000030,000026,000031,000042,000007,000032"
2021-08-31,bear,20,17,3,-1.784,0.2895,0.000434,"000009,000039,000035,000011,000017,000019,000012,000037,000029,000026,000031,000045,000020,000027,000021,000028,000006"
2021-09-30,bear,20,17,3,-2.8889,0.3235,0.000485,"000045,000027,000036,000039,000048,000019,000009,000017,000026,000012,000020,000029,000008,000032,000021,000028,000001"
2021-10-29,range,20,19,1,2.8047,0.2059,0.000309,"000036,000035,000045,000027,000021,000001,000029,000009,000039,000017,000034,000008,000031,000042,000032,000020,000014,000012,000028"
2021-11-30,bear,20,19,1,4.0124,0.2368,0.000355,"000036,000030,000045,000025,000008,000029,000042,000020,000032,000014,000039,000017,000012,000006,000027,000021,000009,000037,000035"
2021-12-31,range,20,18,2,-7.1269,0.1842,0.000276,"000039,000035,000012,000031,000030,000032,000019,000045,000017,000029,000048,000027,000020,000021,000025,000036,000006,000009"
2022-02-28,bear,20,17,3,-0.9471,0.2222,0.000333,"000032,000014,000048,000042,000035,000031,000045,000021,000030,000009,000027,000006,000012,000036,000026,000039,000029"
2022-03-31,bear,20,14,6,-12.6452,0.2647,0.000397,"000042,000001,000048,000014,000030,000008,000026,000027,000012,000035,000032,000009,000017,000029"
2022-04-29,bear,20,18,2,14.5306,0.3571,0.000536,"000007,000048,000030,000008,000026,000009,000029,000032,000011,000027,000001,000025,000035,000039,000017,000028,000031,000042"
2022-05-31,bear,20,20,0,6.0103,0.3333,0.0005,"000007,000034,000009,000031,000019,000039,000049,000030,000042,000017,000028,000001,000048,000012,000027,000011,000045,000037,000035,000021"
2022-06-30,range,20,18,2,-2.6316,0.35,0.000525,"000042,000011,000008,000019,000029,000006,000049,000035,000025,000014,000031,000001,000048,000028,000039,000012,000034,000009"
2022-07-29,bear,20,19,1,-2.6009,0.2778,0.000417,"000008,000042,000048,000029,000049,000017,000025,000019,000031,000037,000034,000014,000045,000028,000006,000030,000009,000032,000021"
2022-08-31,bear,20,19,1,-7.5451,0.3421,0.000513,"000017,000049,000034,000028,000007,000042,000031,000037,000035,000006,000019,000014,000027,000011,000008,000021,000029,000036,000012"
2022-09-30,bear,20,16,4,7.2097,0.3421,0.000513,"000007,000025,000028,000049,000019,000027,000017,000034,000026,000029,000037,000030,000045,000009,000008,000035"
2022-10-31,bear,20,20,0,12.6683,0.1875,0.000281,"000034,000035,000019,000007,000012,000020,000011,000028,000017,000029,000027,000026,000025,000037,000008,000030,000049,000009,000031,000014"
2022-11-30,range,20,15,5,-2.8133,0.25,0.000375,"000019,000045,000037,000026,000049,000007,000034,000028,000030,000008,000035,000009,000027,000029,000017"
2022-12-30,range,20,20,0,5.0286,0.3667,0.00055,"000014,000029,000007,000017,000011,000037,000028,000026,000036,000012,000009,000034,000002,000035,000042,000025,000049,000031,000030,000008"
2023-01-31,range,20,17,3,1.5643,0.4,0.0006,"000014,000048,000011,000029,000034,000030,000019,000042,000045,000039,000035,000027,000012,000008,000037,000020,000017"
2023-02-28,range,20,20,0,1.0377,0.4412,0.000662,"000042,000028,000032,000030,000048,000014,000045,000035,000025,000008,000009,000037,000021,000049,000017,000026,000007,000034,000029,000031"
2023-03-31,range,20,17,3,-2.1686,0.25,0.000375,"000032,000034,000028,000031,000045,000017,000042,000029,000014,000030,000036,000019,000001,000026,000009,000035,000049"
2023-04-28,range,20,18,2,2.0138,0.2647,0.000397,"000032,000021,000036,000034,000027,000026,000048,000028,000019,000037,000012,000017,000045,000014,000025,000029,000035,000030"
2023-05-31,bear,20,19,1,-1.769,0.2778,0.000417,"000020,000028,000026,000027,000014,000008,000032,000034,000019,000045,000002,000021,000009,000029,000025,000035,000030,000017,000042"
2023-06-30,bear,20,20,0,4.7422,0.2895,0.000434,"000032,000021,000045,000034,000030,000026,000027,000012,000014,000039,000031,000008,000019,000017,000028,000035,000009,000048,000011,000001"
2023-07-31,range,20,18,2,-4.6243,0.25,0.000375,"000026,000030,000036,000027,000017,000008,000035,000014,000021,000039,000045,000042,000001,000031,000037,000020,000012,000034"
2023-08-31,bear,20,18,2,-3.5284,0.3333,0.0005,"000014,000030,000034,000045,000029,000031,000021,000035,000025,000026,000011,000036,000008,000037,000009,000017,000027,000028"
2023-10-31,bear,20,15,5,3.1523,0.4444,0.000667,"000035,000019,000014,000036,000029,000031,000006,000009,000020,000012,000017,000008,000037,000028,000045"
2023-11-30,bear,20,18,2,-3.6599,0.3667,0.00055,"000009,000021,000029,000035,000020,000034,000036,000012,000045,000019,000008,000030,000026,000014,000027,000037,000025,000028"
2023-12-29,bear,20,17,3,-0.0997,0.2222,0.000333,"000009,000039,000020,000030,000025,000034,000029,000037,000012,000008,000021,000017,000045,000014,000001,000035,000026"
2024-01-31,bear,20,14,6,5.2507,0.2647,0.000397,"000017,000039,000014,000002,000026,000009,000029,000034,000027,000008,000012,000025,000001,000020"
2024-02-29,range,20,16,4,1.9166,0.2857,0.000429,"000039,000027,000008,000029,000045,000012,000026,000034,000001,000014,000009,000048,000025,000037,000020,000019"
2024-03-29,range,20,15,5,-1.3028,0.375,0.000563,"000027,000039,000030,000017,000026,000034,000014,000045,000019,000035,000001,000029,000011,000037,000009"
2024-04-30,range,20,20,0,-0.4054,0.2333,0.00035,"000039,000030,000027,000011,000029,000028,000001,000019,000045,000034,000006,000026,000020,000025,000014,000009,000037,000036,000012,000017"
2024-05-31,bear,20,12,8,-7.446,0.25,0.000375,"000039,000037,000001,000029,000035,000027,000036,000034,000021,000014,000025,000045"
2024-06-28,bear,20,17,3,-1.8525,0.4167,0.000625,"000039,000014,000036,000045,000001,000029,000025,000017,000035,000009,000027,000012,000026,000037,000031,000021,000048"
2024-07-31,bear,20,15,5,-2.6748,0.3235,0.000485,"000006,000029,000048,000031,000037,000026,000009,000001,000025,000020,000035,000012,000019,000017,000014"
2024-08-30,bear,20,17,3,27.2526,0.1667,0.00025,"000021,000012,000037,000032,000025,000001,000035,000008,000029,000017,000014,000009,000006,000031,000026,000034,000020"
2024-09-30,range,20,15,5,11.2383,0.3824,0.000574,"000007,000034,000026,000036,000009,000037,000021,000035,000032,000017,000006,000001,000014,000027,000012"
2024-10-31,bull,20,18,2,-1.5289,0.3667,0.00055,"000037,000006,000031,000034,000008,000035,000017,000007,000001,000032,000012,000026,000027,000019,000020,000021,000028,000029"
2024-11-29,bull,20,17,3,-5.9744,0.2778,0.000417,"000034,000007,000017,000020,000030,000001,000032,000049,000045,000037,000006,000019,000026,000021,000029,000008,000028"
2024-12-31,range,20,15,5,-6.0022,0.3235,0.000485,"000021,000034,000045,000001,000014,000008,000025,000035,000007,000029,000006,000031,000026,000027,000032"
2025-02-28,range,20,18,2,-0.0802,0.2333,0.00035,"000021,000030,000032,000034,000025,000026,000035,000027,000008,000009,000001,000031,000011,000037,000017,000014,000006,000029"
2025-03-31,range,20,16,4,-0.9081,0.2778,0.000417,"000021,000008,000032,000035,000026,000034,000014,000001,000019,000029,000027,000031,000012,000020,000017,000037"
2025-04-30,range,20,19,1,3.5132,0.3125,0.000469,"000008,000021,000020,000019,000011,000028,000009,000002,000029,000001,000017,000031,000045,000006,000014,000027,000035,000032,000012"
2025-05-30,range,20,19,1,1.6928,0.2368,0.000355,"000011,000001,000007,000014,000026,000008,000019,000006,000020,000017,000036,000029,000031,000035,000049,000028,000009,000021,000012"
2025-06-30,range,20,19,1,3.0245,0.3947,0.000592,"000045,000042,000026,000001,000014,000009,000025,000029,000037,000006,000021,000017,000034,000008,000031,000032,000039,000035,000048"
2025-07-31,range,20,20,0,8.7635,0.1842,0.000276,"000014,000034,000039,000009,000019,000029,000032,000042,000008,000031,000026,000037,000027,000021,000001,000020,000025,000049,000048,000017"
2025-08-29,range,20,19,1,4.9514,0.3,0.00045,"000032,000042,000029,000036,000045,000008,000017,000031,000025,000026,000019,000020,000009,000034,000048,000006,000030,000014,000011"
2025-09-30,range,20,20,0,0.9714,0.2895,0.000434,"000014,000021,000029,000034,000036,000006,000031,000008,000017,000045,000025,000027,000009,000026,000037,000042,000049,000011,000012,000039"
2025-10-31,range,20,18,2,-3.181,0.25,0.000375,"000029,000035,000006,000008,000014,000020,000025,000021,000009,000017,000049,000031,000011,000034,000012,000045,000027,000032"
2025-11-28,range,20,20,0,-1.6355,0.3333,0.0005,"000035,000036,000049,000006,000027,000045,000007,000019,000039,000008,000011,000037,000025,000020,000032,000014,000042,000029,000021,000001"
2025-12-31,range,20,20,0,-0.2863,0.3,0.00045,"000039,000007,000030,000045,000017,000011,000035,000006,000036,000049,000020,000027,000034,000014,000001,000008,000009,000028,000029,000012"
2026-01-30,range,20,20,0,6.1303,0.3,0.00045,"000037,000035,000007,000048,000045,000008,000021,000028,000026,000019,000039,000027,000042,000014,000011,000017,000049,000012,000036,000034"
2026-02-27,range,20,19,1,-1.9124,0.2,0.0003,"000007,000039,000042,000037,000045,000021,000048,000019,000025,000031,000026,000020,000008,000027,000028,000035,000036,000017,000049"
2026-03-31,range,20,19,1,5.6885,0.3421,0.000513,"000007,000042,000021,000039,000028,000049,000017,000036,000032,000014,000026,000035,000001,000006,000025,000011,000031,000034,000029"
2026-04-30,range,20,20,0,0.0,0.3421,0.000513,"000007,000006,000037,000026,000049,000019,000036,000014,000039,000042,000025,000029,000045,000030,000008,000020,000021,000031,000002,000034"
